Date,Time,Battery voltage (V),Motor1 PWM,Motor2 PWM,Motor3 PWM,Motor4 PWM
6/5/2023, 23:21:07.608366,3.473314,44163,47314,42910,48145
6/5/2023, 23:21:08.606796,3.473314,40756,49881,39735,49831
6/5/2023, 23:21:08.624144,3.462757,40814,48658,37886,50246
6/5/2023, 23:21:09.711194,3.468035,41320,49292,38567,49892
6/5/2023, 23:21:09.608276,3.468035,43683,47374,42719,47648
6/5/2023, 23:21:10.275592,3.468035,44635,47243,42068,47859
6/5/2023, 23:21:10.610238,3.462757,44123,48006,41523,47478
6/5/2023, 23:21:11.611496,3.457478,42381,47619,42844,48013
6/5/2023, 23:21:11.612132,3.462757,44883,47146,41948,48539
6/5/2023, 23:21:12.613656,3.446921,43533,47445,42543,48459
6/5/2023, 23:21:12.613740,3.452199,51043,39756,49611,40878
6/5/2023, 23:21:13.641260,3.446921,51033,38415,50216,37892
6/5/2023, 23:21:13.615922,3.452199,49320,42466,48511,42439
6/5/2023, 23:21:14.617950,3.452199,44224,47933,42617,47538
6/5/2023, 23:21:14.651454,3.446921,44377,48300,42045,47165
6/5/2023, 23:21:15.657420,3.446921,44464,48039,42128,47793
6/5/2023, 23:21:15.574806,3.441642,45035,47579,41851,48362
6/5/2023, 23:21:16.582820,3.446921,45570,47946,42603,47801
6/5/2023, 23:21:16.602998,3.441642,41810,50023,38748,49744
6/5/2023, 23:21:17.674298,3.436364,40977,50454,38113,49493
6/5/2023, 23:21:17.575754,3.441642,42052,50261,38228,49691
6/5/2023, 23:21:18.600910,3.436364,44263,47907,42733,47658
6/5/2023, 23:21:18.584630,3.457478,44715,47915,42195,48355
6/5/2023, 23:21:19.574078,3.452199,43171,47098,41078,46709
